participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.decision,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
23,755d8ihx,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.175914+00:00,1,,,0,1,,0,D,14,1,i66tivdp,,,,,0
24,4qn73r02,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.198901+00:00,1,,,-4,2,,-4,C,46,1,i66tivdp,,,,,0
25,s7dz61f3,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.230159+00:00,1,,,-1,1,,-1,C,1,1,i66tivdp,,,,,0
26,y0tagtiu,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.259329+00:00,1,,,-1,2,,-1,C,92,1,i66tivdp,,,,,0
27,d0lq0xdt,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.283716+00:00,1,,,0,1,,0,D,48,1,i66tivdp,,,,,0
28,ahl33x0s,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.312702+00:00,1,,,0,2,,0,D,3,1,i66tivdp,,,,,0
29,dt6gnyye,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.340838+00:00,1,,,-3,1,,-3,D,26,1,i66tivdp,,,,,0
30,r7k5sruw,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.364666+00:00,1,,,-3,2,,-3,D,63,1,i66tivdp,,,,,0
31,5kz4flj6,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.389090+00:00,1,,,0,1,,0,D,61,1,i66tivdp,,,,,0
32,si0lm9k0,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.415618+00:00,1,,,0,2,,0,D,10,1,i66tivdp,,,,,0
33,v3zw8dcm,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.441522+00:00,1,,,0,1,,0,D,74,1,i66tivdp,,,,,0
34,r8ruwltg,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.470220+00:00,1,,,-1,2,,-1,C,35,1,i66tivdp,,,,,0
35,64igszjq,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.493562+00:00,1,,,0,1,,0,D,11,1,i66tivdp,,,,,0
36,9i1qyhe6,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.515014+00:00,1,,,-1,2,,-1,C,90,1,i66tivdp,,,,,0
37,cwygtchx,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.538484+00:00,1,,,-1,1,,-1,C,92,1,i66tivdp,,,,,0
38,hvvz75li,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.564853+00:00,1,,,0,2,,0,D,70,1,i66tivdp,,,,,0
39,3wbcooc2,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.585797+00:00,1,,,0,1,,0,D,17,1,i66tivdp,,,,,0
40,8i9pmu44,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.611175+00:00,1,,,-1,2,,-1,C,56,1,i66tivdp,,,,,0
41,fwjmqtt3,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.635491+00:00,1,,,-1,1,,-1,C,65,1,i66tivdp,,,,,0
42,vgrq370v,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.662472+00:00,1,,,-4,2,,-4,C,11,1,i66tivdp,,,,,0
43,dl7inmuq,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.684097+00:00,1,,,0,1,,0,D,24,1,i66tivdp,,,,,0
44,21mlsfnh,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.710372+00:00,1,,,-1,2,,-1,C,47,1,i66tivdp,,,,,0
45,4t7vl7ye,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.734744+00:00,1,,,0,1,,0,D,33,1,i66tivdp,,,,,0
46,bgfdcxiw,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.759225+00:00,1,,,-4,2,,-4,C,32,1,i66tivdp,,,,,0
47,p70v52df,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.785853+00:00,1,,,-1,1,,-1,C,15,1,i66tivdp,,,,,0
48,bt9g99q6,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.809548+00:00,1,,,-4,2,,-4,C,28,1,i66tivdp,,,,,0
49,9zy0u5a7,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.833418+00:00,1,,,0,1,,0,D,86,1,i66tivdp,,,,,0
50,wgjyyyym,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.857278+00:00,1,,,-4,2,,-4,C,87,1,i66tivdp,,,,,0
51,y49s7986,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.884840+00:00,1,,,0,1,,0,D,37,1,i66tivdp,,,,,0
52,j3xuyeml,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.909343+00:00,1,,,0,2,,0,D,21,1,i66tivdp,,,,,0
53,tvwmkzge,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.934678+00:00,1,,,-4,1,,-4,C,23,1,i66tivdp,,,,,0
54,yqqyj4q7,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.959287+00:00,1,,,-4,2,,-4,C,61,1,i66tivdp,,,,,0
55,cd9ip3l7,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:31.983399+00:00,1,,,-1,1,,-1,C,7,1,i66tivdp,,,,,0
56,q49dyh07,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.064413+00:00,1,,,-4,2,,-4,C,74,1,i66tivdp,,,,,0
57,83wfhm2g,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.086651+00:00,1,,,-1,1,,-1,C,68,1,i66tivdp,,,,,0
58,seoqjole,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.112924+00:00,1,,,-4,2,,-4,C,24,1,i66tivdp,,,,,0
59,xdnegc90,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.137502+00:00,1,,,0,1,,0,D,93,1,i66tivdp,,,,,0
60,kingryaw,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.163492+00:00,1,,,-4,2,,-4,C,73,1,i66tivdp,,,,,0
61,tu2my8so,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.188577+00:00,1,,,-3,1,,-3,D,16,1,i66tivdp,,,,,0
62,jzy5v75t,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.221114+00:00,1,,,-3,2,,-3,D,97,1,i66tivdp,,,,,0
63,xqh62zc7,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.246279+00:00,1,,,0,1,,0,D,78,1,i66tivdp,,,,,0
64,oiv8lpgj,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.274807+00:00,1,,,-3,2,,-3,D,34,1,i66tivdp,,,,,0
65,70sy2mjp,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.301819+00:00,1,,,0,1,,0,D,79,1,i66tivdp,,,,,0
66,s1un1pa1,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.336049+00:00,1,,,-4,2,,-4,C,58,1,i66tivdp,,,,,0
67,dglwvjw6,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.361766+00:00,1,,,-3,1,,-3,D,59,1,i66tivdp,,,,,0
68,5qayibwn,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.384722+00:00,1,,,-4,2,,-4,C,6,1,i66tivdp,,,,,0
69,5zxvnh5i,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.410376+00:00,1,,,-1,1,,-1,C,12,1,i66tivdp,,,,,0
70,5mxyecli,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.435827+00:00,1,,,-1,2,,-1,C,96,1,i66tivdp,,,,,0
71,j3yuy4no,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.463125+00:00,1,,,-4,1,,-4,C,29,1,i66tivdp,,,,,0
72,1yt13gex,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.484976+00:00,1,,,0,2,,0,D,39,1,i66tivdp,,,,,0
73,kgmsn37o,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.511228+00:00,1,,,-4,1,,-4,C,3,1,i66tivdp,,,,,0
74,ocnzr6jn,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.533766+00:00,1,,,0,2,,0,D,13,1,i66tivdp,,,,,0
75,pxro8tq3,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.556476+00:00,1,,,-4,1,,-4,C,62,1,i66tivdp,,,,,0
76,oa7vbe8z,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.578738+00:00,1,,,-4,2,,-4,C,48,1,i66tivdp,,,,,0
77,xubjk3yl,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.605441+00:00,1,,,-3,1,,-3,D,89,1,i66tivdp,,,,,0
78,5zhnk6ej,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.629311+00:00,1,,,-3,2,,-3,D,55,1,i66tivdp,,,,,0
79,mhnx9t3i,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.650111+00:00,1,,,-4,1,,-4,C,2,1,i66tivdp,,,,,0
80,267ligzk,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.677891+00:00,1,,,-3,2,,-3,D,19,1,i66tivdp,,,,,0
81,rljubxnr,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.702593+00:00,1,,,-3,1,,-3,D,75,1,i66tivdp,,,,,0
82,ey9l01qp,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.728349+00:00,1,,,-1,2,,-1,C,68,1,i66tivdp,,,,,0
83,154t3nn5,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.753698+00:00,1,,,0,1,,0,D,22,1,i66tivdp,,,,,0
84,bbhhuatr,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.777281+00:00,1,,,0,2,,0,D,98,1,i66tivdp,,,,,0
85,vvsyi2um,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.800779+00:00,1,,,-4,1,,-4,C,31,1,i66tivdp,,,,,0
86,oqrnqkmw,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.829448+00:00,1,,,-3,2,,-3,D,57,1,i66tivdp,,,,,0
87,v5259yxh,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.851935+00:00,1,,,-4,1,,-4,C,77,1,i66tivdp,,,,,0
88,8yqd8d6g,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.875501+00:00,1,,,-4,2,,-4,C,78,1,i66tivdp,,,,,0
89,5v6gwntw,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.902844+00:00,1,,,-4,1,,-4,C,98,1,i66tivdp,,,,,0
90,2hpy8bcq,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.929461+00:00,1,,,-4,2,,-4,C,94,1,i66tivdp,,,,,0
91,4sfkheqb,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.952625+00:00,1,,,-3,1,,-3,D,27,1,i66tivdp,,,,,0
92,cegkc23f,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:32.977289+00:00,1,,,-4,2,,-4,C,8,1,i66tivdp,,,,,0
93,tvnrq12b,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.006044+00:00,1,,,-3,1,,-3,D,55,1,i66tivdp,,,,,0
94,tj4dg2nm,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.028950+00:00,1,,,-3,2,,-3,D,16,1,i66tivdp,,,,,0
95,xouogh8x,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.056116+00:00,1,,,0,1,,0,D,83,1,i66tivdp,,,,,0
96,dlfrgf9a,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.080644+00:00,1,,,-1,2,,-1,C,91,1,i66tivdp,,,,,0
97,xotqwclp,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.104131+00:00,1,,,-1,1,,-1,C,82,1,i66tivdp,,,,,0
98,8j5j6wo2,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.130121+00:00,1,,,-4,2,,-4,C,76,1,i66tivdp,,,,,0
99,rrzqxvj7,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.155346+00:00,1,,,-1,1,,-1,C,60,1,i66tivdp,,,,,0
100,rc3lhrpu,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.177508+00:00,1,,,-4,2,,-4,C,79,1,i66tivdp,,,,,0
101,js7ns7wy,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.201128+00:00,1,,,-3,1,,-3,D,57,1,i66tivdp,,,,,0
102,mcxd12e8,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.223992+00:00,1,,,-1,2,,-1,C,82,1,i66tivdp,,,,,0
103,gz0x21cg,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.249369+00:00,1,,,-3,1,,-3,D,63,1,i66tivdp,,,,,0
104,262ixs8u,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.371019+00:00,1,,,0,2,,0,D,2,1,i66tivdp,,,,,0
105,4z5nvyzb,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.398788+00:00,1,,,-3,1,,-3,D,38,1,i66tivdp,,,,,0
106,jglax8lr,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.419985+00:00,1,,,-3,2,,-3,D,42,1,i66tivdp,,,,,0
107,dolzfnmh,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.444800+00:00,1,,,-3,1,,-3,D,72,1,i66tivdp,,,,,0
108,iu94x663,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.476030+00:00,1,,,-4,2,,-4,C,41,1,i66tivdp,,,,,0
109,gvloqu99,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.497506+00:00,1,,,0,1,,0,D,6,1,i66tivdp,,,,,0
110,0fxgbs0d,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.521572+00:00,1,,,0,2,,0,D,23,1,i66tivdp,,,,,0
111,5utjqag6,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.543789+00:00,1,,,-4,1,,-4,C,40,1,i66tivdp,,,,,0
112,u43e5sn1,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.568130+00:00,1,,,0,2,,0,D,29,1,i66tivdp,,,,,0
113,s0jszj6d,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.596298+00:00,1,,,-4,1,,-4,C,36,1,i66tivdp,,,,,0
114,z81y9w7l,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.618312+00:00,1,,,-3,2,,-3,D,45,1,i66tivdp,,,,,0
115,cvs21s7o,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.642093+00:00,1,,,-1,1,,-1,C,66,1,i66tivdp,,,,,0
116,joo53jm3,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.667571+00:00,1,,,-4,2,,-4,C,33,1,i66tivdp,,,,,0
117,c3ltv9dq,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.692634+00:00,1,,,-1,1,,-1,C,47,1,i66tivdp,,,,,0
118,01l7mxo9,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.714184+00:00,1,,,0,2,,0,D,31,1,i66tivdp,,,,,0
119,9fc34vh1,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.737631+00:00,1,,,0,1,,0,D,85,1,i66tivdp,,,,,0
120,qxg2kf0s,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.763502+00:00,1,,,-4,2,,-4,C,5,1,i66tivdp,,,,,0
121,j3ittdoe,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.785778+00:00,1,,,0,1,,0,D,64,1,i66tivdp,,,,,0
122,td1gf8kc,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.811735+00:00,1,,,-4,2,,-4,C,86,1,i66tivdp,,,,,0
123,qvslchlk,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.836201+00:00,1,,,0,1,,0,D,8,1,i66tivdp,,,,,0
124,uolrpclc,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.860274+00:00,1,,,-3,2,,-3,D,51,1,i66tivdp,,,,,0
125,u7jaawje,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.882874+00:00,1,,,-1,1,,-1,C,90,1,i66tivdp,,,,,0
126,2d6itu07,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.908145+00:00,1,,,-3,2,,-3,D,75,1,i66tivdp,,,,,0
127,j3xcww6d,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.934926+00:00,1,,,0,1,,0,D,25,1,i66tivdp,,,,,0
128,svsueoy0,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.958572+00:00,1,,,0,2,,0,D,40,1,i66tivdp,,,,,0
129,u08kp0hv,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:33.979614+00:00,1,,,0,1,,0,D,76,1,i66tivdp,,,,,0
130,qfb9n02t,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.005075+00:00,1,,,0,2,,0,D,9,1,i66tivdp,,,,,0
131,9r1qx8ae,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.028505+00:00,1,,,0,1,,0,D,94,1,i66tivdp,,,,,0
132,2oex02r1,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.050747+00:00,1,,,-4,2,,-4,C,22,1,i66tivdp,,,,,0
133,a3vhndo5,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.076650+00:00,1,,,-1,1,,-1,C,91,1,i66tivdp,,,,,0
134,uruy77qi,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.099980+00:00,1,,,-1,2,,-1,C,43,1,i66tivdp,,,,,0
135,04mgeaaa,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.123513+00:00,1,,,0,1,,0,D,88,1,i66tivdp,,,,,0
136,n5l8cjic,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.149451+00:00,1,,,0,2,,0,D,77,1,i66tivdp,,,,,0
137,5v9uubdq,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.171873+00:00,1,,,-1,1,,-1,C,49,1,i66tivdp,,,,,0
138,v3rkz6mt,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.194618+00:00,1,,,-1,2,,-1,C,60,1,i66tivdp,,,,,0
139,gah1mhee,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.218744+00:00,1,,,-4,1,,-4,C,100,1,i66tivdp,,,,,0
140,xmm3gh7o,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.243955+00:00,1,,,-3,2,,-3,D,89,1,i66tivdp,,,,,0
141,a3rq3aji,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.267929+00:00,1,,,0,1,,0,D,87,1,i66tivdp,,,,,0
142,6kimzzxc,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.290846+00:00,1,,,-3,2,,-3,D,59,1,i66tivdp,,,,,0
143,my05lzvz,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.318051+00:00,1,,,-3,1,,-3,D,19,1,i66tivdp,,,,,0
144,g6xbp84p,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.341263+00:00,1,,,-3,2,,-3,D,53,1,i66tivdp,,,,,0
145,w5bfsi7k,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.363875+00:00,1,,,-4,1,,-4,C,10,1,i66tivdp,,,,,0
146,pyvhu17y,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.387490+00:00,1,,,-4,2,,-4,C,37,1,i66tivdp,,,,,0
147,4xqljsdv,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.411206+00:00,1,,,0,1,,0,D,58,1,i66tivdp,,,,,0
148,2z6w4g67,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.437726+00:00,1,,,-1,2,,-1,C,66,1,i66tivdp,,,,,0
149,0vnl2g7z,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.464435+00:00,1,,,-3,1,,-3,D,97,1,i66tivdp,,,,,0
150,b3230wok,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.487031+00:00,1,,,-1,2,,-1,C,65,1,i66tivdp,,,,,0
151,zzvmz49l,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.508640+00:00,1,,,-1,1,,-1,C,20,1,i66tivdp,,,,,0
152,tld29u1x,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.536744+00:00,1,,,-3,2,,-3,D,95,1,i66tivdp,,,,,0
153,d4mlem37,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.689919+00:00,1,,,-1,1,,-1,C,35,1,i66tivdp,,,,,0
154,lfg4a37j,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.714749+00:00,1,,,-3,2,,-3,D,72,1,i66tivdp,,,,,0
155,792sp912,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.738404+00:00,1,,,-1,1,,-1,C,50,1,i66tivdp,,,,,0
156,6hs09zaa,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.761299+00:00,1,,,-4,2,,-4,C,25,1,i66tivdp,,,,,0
157,f8q6r7im,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.787626+00:00,1,,,-4,1,,-4,C,21,1,i66tivdp,,,,,0
158,yxs5d313,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.811012+00:00,1,,,-3,2,,-3,D,26,1,i66tivdp,,,,,0
159,7oodqrt5,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.834370+00:00,1,,,0,1,,0,D,5,1,i66tivdp,,,,,0
160,kd8uprcb,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.858148+00:00,1,,,-3,2,,-3,D,27,1,i66tivdp,,,,,0
161,0z8wzsdu,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.882026+00:00,1,,,-4,1,,-4,C,44,1,i66tivdp,,,,,0
162,ikbmdi86,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.905826+00:00,1,,,-3,2,,-3,D,69,1,i66tivdp,,,,,0
163,ds0lk0ej,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.929137+00:00,1,,,-4,1,,-4,C,13,1,i66tivdp,,,,,0
164,cx5ajvux,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.953145+00:00,1,,,0,2,,0,D,36,1,i66tivdp,,,,,0
165,ki0excxi,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:34.976164+00:00,1,,,0,1,,0,D,41,1,i66tivdp,,,,,0
166,ajm5uiy1,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.000337+00:00,1,,,-3,2,,-3,D,18,1,i66tivdp,,,,,0
167,oaiv3z6p,,1,4,3,prisoners_dilemma,Results,2020-12-17 08:16:35.021129+00:00,1,,,0,1,,0,D,46,1,i66tivdp,,,,,0
